,Start,Stock,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%]
40,2022-03-18,AMAT,2023-02-21,340 days,21.030042918454935,9840.674446105957,10019.518241882324,-1.5932555389404297,-17.04182031231917,-1.7220527676351294,0.6613723877129916,0.0,0.0,0.0,-1.784954041290998,-1.784954041290998,302 days,302 days,32,28.125,3.3619656219458838,-6.137076003281283,-1.8238716369663455,4 days,2 days,0.1587215236956031,-1.788865283606732
41,2022-04-06,AMBA,2022-09-02,149 days,12.5,9982.119979858398,10000.870002746582,-0.17880020141601563,-33.07782347905751,-0.43269559058533025,0.475389726841733,0.0,0.0,0.0,-0.3671679921969151,-0.3671679921969151,128 days,128 days,7,57.14285714285714,5.4802500616207395,-10.884527193059556,-1.114715385587961,3 days,2 days,0.5595334073588527,-0.9885997159066144
42,2022-03-02,AMCX,2022-09-28,210 days,13.698630136986301,9999.01001739502,10009.990005493164,-0.009899826049804687,-50.805705536799664,-0.017086756903739175,0.1916337056421001,0.0,0.0,0.0,-0.11118883760388165,-0.11118883760388165,168 days,168 days,11,36.36363636363637,2.777779368826072,-5.001399468393863,-0.9531179703907378,3 days,2 days,0.43725121205773576,-0.9200294073715072
43,2022-03-15,AMC,2023-03-03,353 days,34.42622950819672,10046.800004720688,10050.430006980896,0.4680000472068787,-54.558010140034696,0.48338133804048944,0.2717226030836608,1.7789515209806117,4.51963083232259,5.3917285480235275,-0.08965238767772998,-0.03550601083354514,87 days,29 days,49,55.10204081632652,21.18226959692109,-13.581596446607435,0.8343532603329429,3 days,2 days,1.5007747295656064,1.0838925460026894
44,2022-03-04,AMD,2023-03-10,371 days,55.46875,9773.519836425781,10000.0,-2.264801635742187,-23.743201387014167,-2.229811636922374,1.277493584929598,0.0,0.0,0.0,-2.3626016998291033,-2.3626016998291033,358 days,358 days,88,45.45454545454545,9.096895825064276,-12.628074079947327,-0.38136851105082803,4 days,2 days,0.8163363510474171,-0.306144429401802
45,2022-03-02,AMGN,2023-02-21,356 days,48.97959183673469,10026.87026977539,10092.039001464844,0.26870269775390626,7.539510702812071,0.27639051761909617,1.1978752703349556,0.2307339707762817,0.4093465982226057,0.2234219191527252,-1.2370787909585679,-0.4655294048585712,168 days,65 days,71,46.478873239436616,5.548354739395922,-4.528235945395897,-0.09301943328362539,4 days,2 days,0.8499677640086342,-0.08185000074464681
46,2022-04-06,AMP,2022-07-05,90 days,6.557377049180328,9852.203536987305,10000.0,-1.4779646301269531,-19.112558831640953,-5.965889769378363,2.799435848198417,0.0,0.0,0.0,-1.477964630126949,-1.477964630126949,71 days,71 days,2,0.0,-0.12201903912947287,-5.840688373669378,-3.0234980322381144,1 days,1 days,0.0,-2.9813537063994255
47,2022-04-29,AMRN,2022-08-08,101 days,11.594202898550725,10000.149999856949,10000.149999856949,0.0014999985694885253,-46.09665364907161,0.0054783646141753906,0.008117513249172294,0.6748821278159287,1.3415203810984706,2.282650698062776,-0.0024000012874614285,-0.0024000012874614285,10 days,10 days,4,50.0,10.619469493340471,-5.223884381225963,1.2944720349425287,3 days,2 days,2.0405177220897395,1.4541714833521624
48,2022-07-27,AMTD,2022-09-02,37 days,35.714285714285715,9973.599998474121,10001.919999599457,-0.2640000152587891,9.027777087909232,-2.3510635218691456,0.5072389993321297,0.0,0.0,0.0,-0.28314564730042013,-0.28314564730042013,32 days,32 days,6,33.33333333333333,22.222216703273844,-236.5384738826192,0,1 days,1 days,0.10789503790490981,-39.45052573133266
49,2022-04-27,AMT,2022-10-19,175 days,8.19672131147541,10030.777053833008,10075.86164855957,0.3077705383300781,-23.46092215922685,0.6367652547974778,1.1091874775115484,0.5740826214753656,1.5236786444940902,1.4230933312946215,-0.44745150637323095,-0.44745150637323095,54 days,54 days,5,40.0,3.1735249255071762,-3.6118027356891513,-0.7813678238438149,3 days,2 days,0.5098641677194721,-0.7481386665443224
50,2022-04-07,AMX,2022-04-12,5 days,0.0,10000.0,10000.0,0.0,0.5504581894611866,0.0,0.0,,,,-0.0,,,,0,,,,,,,,
51,2022-03-02,AMZN,2023-03-13,376 days,98.84169884169884,10071.46019744873,10179.969970703125,0.7146019744873047,-39.211787398444926,0.6952214287789582,1.947021640086759,0.3570691842685319,0.508429089541632,0.49917745090985344,-1.3927340417957068,-0.5578718831609297,262 days,72 days,245,51.42857142857142,14.049437774923412,-8.431497620839846,0.20616143321452451,4 days,2 days,1.245000897483772,0.25245654378358784
52,2022-03-03,ANET,2022-11-02,244 days,8.823529411764707,10061.779907226562,10083.24993133545,0.617799072265625,3.9056047205120783,0.9171593442574899,0.6766441805324692,1.3554529406219868,3.5909767971350837,4.1883770569107845,-0.21897726298165665,-0.11128542229154603,54 days,32 days,8,62.5,5.1006288558952395,-1.9642441209055228,1.174298491594472,3 days,2 days,5.073485707790908,1.1983790701229526
